"chain_number","name"
"60_Damascus_Restoran","Damascus Restoran"
"60_Shihlin_Taiwan_Street_Snacks","Shihlin Taiwan Street Snacks - Paradigm Mall"
"60_MTR_1924","MTR 1924"
"60_Warung_Mercik_Lamb_Grill","Warung Mercik - Kambing Bakar"
"60_Chatime","Chatime - Avenue K"
"60_Kenny_Rogers_Roasters","Kenny Rogers Roasters - KLCC"
"60_Kenny_Rogers_Roasters","Kenny Rogers Roasters - Paradigm Mall"
"60_Kenny_Rogers_Roasters","Kenny Rogers Roasters - The Curve"
"60_Ayn_ZamZam_Express","Ayn ZamZam Express - Mid Valley"
"60_The_Humble_Food_Company","The Humble Food Company - Desa Pandan"
"60_Bisou_Bake_Shop","Bisou Bake Shop - Lot 10"
"60_Rawsome","Rawsome - Bangsar"
"60_Hayaki","Hayaki - Uptown"
"60_Drinka","Drinka - Menara Hasil"
"60_Village_Park_Restaurant","Village Park Restaurant"
"60_Eatomo","Eatomo - Bangsar"
"60_Restaurant_Syed_Bistro","Restaurant Syed Bistro - Bangsar"
"60_Specky_Burger","Specky Burger - Damansara Heights"
"60_Murni_Discovery","Murni Discovery - Bukit Jalil"
"60_Baskin_Robbins","Baskin Robbins - Bangsar"
"60_John_Burger","John Burger - Bangsar"
"60_Daves_Deli","Dave's Deli - Atria Shopping Gallery"
"60_Daves_Deli","Dave's Deli - Subang Parade"
"60_Lim_Fried_Chicken","Lim Fried Chicken - SS15"
"60_Lim_Fried_Chicken","Lim Fried Chicken - Starling Mall"
"60_Tealive","Tealive - The Curve"
"60_Tealive","Tealive - Setapak Central"
"60_Tealive","Tealive - SS2 Square"
"60_Tealive","Tealive - Ampang Point"
"60_Tealive","Tealive - Nexus Bangsar South"
"60_Tealive","Tealive - Mydin USJ"
"60_Tealive","Tealive - Publika"
"60_Tealive","Tealive - Tropicana City Mall"
"60_Tealive","Tealive - Empire"
"60_Shihlin_Taiwan_Street_Snacks","Shihlin Taiwan Street Snacks - Tropicana City Mall"
"60_The_Butter_Chicken","The Butter Chicken - Mayang Oasis"
"60_Baskin_Robbins","Baskin Robbins - NU Sentral"
"60_Baskin_Robbins","Baskin Robbins - Desa ParkCity"
"60_Baskin_Robbins","Baskin Robbins - Taman Connaught"
"60_Baskin_Robbins","Baskin Robbins - SOGO KL"
"60_Baskin_Robbins","Baskin Robbins - Avenue K"
"60_Baskin_Robbins","Baskin Robbins - Shoplex Mont Kiara"
"60_Baskin_Robbins","Baskin Robbins - Jaya Section 14"
