"chain_number","name"
"Thai_Terrace","Thai Terrace (ไทย เทอเรส) - เซ็นทรัล เวสต์เกต"
"","เจ๊นิวตำซาดิสต์ สาขา1 - งามวงศ์วาน"
"","เลออัญญ์ อาหารตามสั่ง - ถนนจรัญสนิทวงศ์"
"","ธานี ข้าวหมูแดง หมูกรอบ - ถนนโชคชัย 4"
"Jeffer_Steak","Jeffer Steak (เจฟเฟอร์ สเต็ก) - เทอมินอล 21"
"","ก๋วยเตี๋ยวเนื้อเพิ่มพูน - วิภาวดี 16"
"","เฮียโก๋ ข้าวมันไก่ - ถนนพุทธมณฑลสาย 1"
"KFC","KFC (เคเอฟซี) - บิ๊กซี รามคำแหง"
"KFC","KFC (เคเอฟซี) - เซ็นทรัลพลาซา เวสต์เกต"
"Tummour","Tummour (ตำมั่ว) - เอ็มบีเค เซ็นเตอร์"
"Auntie_Annes","Auntie Anne's (อานตี้ แอนส์) - เดอะมอลล์บางแค"
"","ก๋วยจั๊บน้ำข้นเจ๊แดง - ถนนนครอินทร์"
"","ราดหน้านพดล - ถนนพุทธมณฑลสาย 3"
"","เป็ดย่างวฒิกรณ์ - ถนนเอกมัย"
"","Term Cup Coffee (เติมคัพ คอฟฟี่) - นวมินทร์"
"KFC","KFC (เคเอฟซี) - บีไฮฟ์"
"KFC","KFC (เคเอฟซี) - ซีคอนบางแค"
"KFC","KFC (เคเอฟซี) - บ้านสีลม"
"KFC","KFC (เคเอฟซี) - ที สแควร์ (ตั้งฮั่วเส็ง)"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส ประชาชื่น"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส รัตนาธิเบศร์"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส หลักสี่"
"KFC","KFC (เคเอฟซี) - ซอยรามอินทรา 83"
"KFC","KFC (เคเอฟซี) - เดอะพาซิโอ ทาวน์ สุขาภิบาล 3"
"KFC","KFC (เคเอฟซี) - เกตเวย์บางซื่อ"
"KFC","KFC (เคเอฟซี) - เทสโก้โลตัส รังสิต นครนายก"
"KFC","KFC (เคเอฟซี) - เดอะมาร์เก็ต แบงคอก"
"Fowlmouth","Fowlmouth (ฟาวล์เมาท์) - Thonglor"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัสจรัญสนิทวงศ์"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส พระราม 3"
"KFC","KFC (เคเอฟซี) - บิ๊กซี บางบอน"
"KFC","KFC (เคเอฟซี) - เอสพลานาด รัชดาภิเษก"
"KFC","KFC (เคเอฟซี) - วิสซ์ดอม วัน โอ วัน"
"","โจ๊กบอยสวนหลวง - อ่อนนุช"
"KFC","KFC (เคเอฟซี) - บิ๊กซี คู้บอน"
"","หมูปิ้งอร่อยเวอร์ - เกตเวย์เอกมัย"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส นครอินทร์"
"KFC","KFC (เคเอฟซี) - ปั๊มพีที ตลิ่งชัน"
"Starbucks","Starbucks (สตาร์บัคส์) - เมโทร เวสต์ ทาวน์"
"Katsuya","Katsuya (คัตสึยะ) - เซ็นทรัลเวิลด์"
"","Wu Kong Grilled Mala (ซุนหงอคงหม่าล่าปิ้งย่าง) - ถนนสุทธิสารวินิจฉัย"
"","a cup a cake (อะ คัพ อะ เค้ก) - นาคนิวาส"
"","แกงป่า (ลุงสง่า) - ถนนงามวงศ์วาน"
"","ครัวแม่จำปา - ถนนเทอดไท"
"","บางหว้าขาหมู - ถนนเพชรเกษม"
"","Grazie Pizza & Pasta (แกรซี่ พิซซ่า แอนด์ พาสต้า) - ถนนสุขุมวิท"
"Phoenix_Lava","Phoenix Lava (ฟีนิกซ์ ลาวา) - อิเซตัน"
"","เจ้นก ก๋วยเตี๋ยวเนื้อวัว - ตลาดบางปะกอก"
"Akiyoshi","Akiyoshi (อะคิโยชิ) - สยามสแควร์วัน"
"","Coffeelism Café (คอฟฟี่ลิซึม คาเฟ่) - หมู่บ้านอารียา ลาดปลาเค้า"
"","Holey Artisan Bakery (โฮลี่ อาร์ติซาน เบเกอร์รี่) - ถนนสุขุมวิท"
"KFC","KFC (เคเอฟซี) - ปั๊มปตท.ราชพฤษ์ 4"
"KFC","KFC (เคเอฟซี) - แม็คโคร จรัญสนิทวงศ์ 37"
"KFC","KFC (เคเอฟซี) - แม็คโคร สาทร"
"KFC","KFC (เคเอฟซี) - พันทิพย์ งามวงศ์วาน"
"Cold_Stone_Creamery","Cold Stone Creamery (โคล สโตน ครีมเมอรี่) - เทอมินอล 21"
"KFC","KFC (เคเอฟซี) - บิ๊กซี แจ้งวัฒนะ 2"
"KFC","KFC (เคเอฟซี) - เมเจอร์ ซีนีเพล็กซ์ รัชโยธิน"
"KFC","KFC (เคเอฟซี) - อาคารแสงโสม วิภาวดี"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส ศาลายา"
"KFC","KFC (เคเอฟซี) - เมเจอร์ ซีนีเพล็กซ์ สุขุมวิท"
"KFC","KFC (เคเอฟซี) - ฟิวเจอร์พาร์ค รังสิต ชั้น G"
"KFC","KFC (เคเอฟซี) - บิ๊กซี ราชดำริ"
"KFC","KFC (เคเอฟซี) - ดิอัพ พระราม 3"
"KFC","KFC (เคเอฟซี) - บิ๊กซี พระราม 4"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส รามอินทรา 109"
"KFC","KFC (เคเอฟซี) - เดอะวอร์ค ราชพฤกษ์"
"KFC","KFC (เคเอฟซี) - บิ๊กซี รัตนาธิเบศร์"
"KFC","KFC (เคเอฟซี) - เทสโก้ โลตัส ปทุมธานี"
"KFC","KFC (เคเอฟซี) - ปั๊มเอสโซ่ จรัญสนิทวงศ์ 13"
"CoCo_Fresh_Tea_Juice","CoCo Fresh Tea & Juice (โคโค่ เฟรช ที แอนด์ จุ๊ยส์) - สยามเซ็นเตอร์"
"Zaab_Eli_Everyday","Zaab Eli Everyday (แซ่บอีลี่ เอเวอรี่เดย์) - เซ็นทรัลพลาซ่า พระราม 3"
"Zaab_Eli_Very_Thai","Zaab Eli Very Thai (แซ่บอีลี่ เวรี่ไทย) - เซ็นทรัลเฟสติวัล อิสต์วิลล์"
"MomasBubbleTeaBar","Moma's Bubble Tea Bar (มอมาร์ส บับเบิ้ลที บาร์) - บีทีเอส พระโขนง"
"","Sa Nae Plai Chawak (เสน่ห์ปลายจวัก) - อ่อนนุช"
"Squeeze","Squeeze (สควีซ บาย ทิปโก้) - โรงพยาบาลสมิติเวชธนบุรี"
"Coffeelism_Limited","Coffeelism Limited (คอฟฟี่ลิซึ่ม ลิมิเต็ด) - เซ็นทรัลเวิลด์"
"","ต.รวมโชคข้าวผัดปู & พอใจหมูกะทะ - ถนนโชคชัย4"
"","สวนร่มไม้ - ถนนกาญจนาภิเษก"
"","ก่วงเฮง ข้าวมันไก่ประตูน้ำ - ประตูน้ำ"
"NandB_Pancake","N&B Pancake (เอ็นแอนด์บี แพนเค้ก) - บิ๊กซีพระราม 4"
