"chain_number","name"
"833_Oil_Town_Sarawak_Noodle","Oil Town Sarawak Noodle - Kolomee"
"838_MyPizza","MyPizza - East Coast"
"844_Old_Cheng_Du_Restaurant","Old Cheng Du Restaurant - Pagoda Street"
"846_New_Shah_Alam_Restaurant","New Shah Alam Restaurant - Circular Road"
"849_Penang_Culture","Penang Culture - Jurong"
"850_New_Station_Snack_Bar","New Station Snack Bar - Far East Plaza"
"849_Penang_Culture","Penang Culture - Pasir Ris"
"853_Pasta_E_Formaggio","Pasta E Formaggio - Oxley Tower"
"854_New_Town_Cafe","New Town Cafe - Cross Street"
"849_Penang_Culture","Penang Culture - Sengkang"
"3223_OLDTOWN_White_Coffee","OLDTOWN White Coffee - Jurong Point"
"849_Penang_Culture","Penang Culture - Serangoon"
"858_Zhong_Hua_Guo_Wang","Zhong Hua Guo Wang - Katong Shopping Centre"
"869_Ollella","Makan House @ Ollella - Race Course Road"
"878_Omakase_Burger","Omakase Burger - Orchard [Islandwide Delivery]"
"879_Picotin_Bistro","Picotin Bistro - Green Fairways Golf Course"
"883_Pietro_Ristorante_Italiano","Pietro Ristorante Italiano - Jalan Kelulut"
"885_PastaMania","PastaMania - Bishan Junction 8"
"887_Pimp_My_Salad","Pimp My Salad - Suntec City"
"888_Penyet_Town","Penyet Town - 1KM"
"885_PastaMania","PastaMania - Bugis Junction"
"891_Pepper_Castle","Pepper Castle - Holland Village"
"885_PastaMania","PastaMania - Cathay Cineleisure"
"893_Pin_Xin_Catering","Pin Xin Catering - HomeTeam NS @ Bukit Batok"
"895_Percolate","Percolate - Bedok North Avenue 3 [Islandwide Delivery]"
"885_PastaMania","PastaMania - Causeway Point﻿"
"897_Pince_Pints","Pince and Pints - Duxton [Islandwide Delivery]"
"899_Poulet_Vous","Poulet Vous"
"885_PastaMania","PastaMania - City Square Mall"
"903_Prata_Alley","Prata Alley - Clementi Avenue 3"
"885_PastaMania","PastaMania - Downtown East E!Hub"
"905_Pink_Candy","Pink Candy - Beauty World Centre"
"907_Petes_Place_by_Grand_Hyatt","Pete's Place - Scotts Road"
"885_PastaMania","PastaMania - Fairprice Hub"
"909_Pita_Olives","Pita & Olives - Suntec City"
"885_PastaMania","PastaMania - Harbourfront"
"885_PastaMania","PastaMania - Hillion Mall﻿"
"911_Pezzo","Pezzo - Ang Mo Kio"
"918_Project_Acai","Project Acai - Holland Village"
"911_Pezzo","Pezzo - Bedok Mall"
"921_Pizza_Arc","Pizza Arc -  760236"
"918_Project_Acai","Project Acai - Katong"
"911_Pezzo","Pezzo - Bugis Junction"
"925_Proofer_Bakery_and_Pizzeria","Proofer Bakery and Pizzeria - Changi City Point"
"1841_QQ_Rice","QQ Rice - Woodlands MRT"
"925_Proofer_Bakery_and_Pizzeria","Proofer Bakery and Pizzeria - Chinatown Point"
"925_Proofer_Bakery_and_Pizzeria","Proofer Bakery and Pizzeria - Compass One"
"934_Quentins_Eurasian_Restaurant","Quentin's Eurasian Restaurant - Eurasian Community House"
"935_Rosso_Vino","Rosso Vino - Merbau Road"
"936_Pizzaboy","Pizzaboy"
"925_Proofer_Bakery_and_Pizzeria","Proofer Bakery and Pizzeria - Tampines One"
"945_Royal_Indian_Restaurant","Royal Indian Restaurant - Jalan Besar [Islandwide Delivery]"
"01_Raj_Restaurant","Raj Restaurant - SOHO @ Farrer"
"925_Proofer_Bakery_and_Pizzeria","Proofer Bakery and Pizzeria - Tanjong Pagar"
"949_Royal_Pratas_Curries_Corner","Royal Pratas & Curries Corner - Killiney Road"
"01_Raj_Restaurant","Raj Restaurant - Biopolis"
"952_PSCafe","PS.Cafe - Ann Siang"
"953_Royal_Thai_Boat_Noodles_Bar","Royal Thai Boat Noodles & Bar - KAP Residences Mall"
"952_PSCafe","PS Cafe - Palais Renaissance"
"957_Sarnies","Sarnies - 136 Telok Ayer Street [Islandwide Delivery]"
"952_PSCafe","PS Cafe - Martin 38"
"960_Rubato","Rubato - Greenwood Ave [Islandwide Delivery]"
"962_Sarpinos","Sarpino's - Race Course Road"
"965_Ramen_Matsuri","Ramen Matsuri - 7 North Canal Road"
"962_Sarpinos","Sarpino's - Bukit Merah Central"
"970_Pump_Station_Bar_Bistro","Pump Station Bar & Bistro - 50 Punggol East"
"971_Saap_Saap_Thai","Saap Saap Thai - Our Tampines Hub [Islandwide Delivery]"
"973_Randy_Indulgence","Randy Indulgence - Tanjong Pagar Centre"
"983_Rattana_Thai_Restaurant","Rattana Thai Restaurant - Tanjong Pagar Plaza"
"985_Shahi_Maharani","Shahi Maharani - Raffles City Shopping Centre"
"01_RedTail_Bar_By_Zouk","Redtail by Zouk -The Cannery"
"988_Sahara_Bar_Restaurant","Sahara Bar & Restaurant - 58 Boat Quay"
"991_Redpan","Redpan - Marina Square"
"993_Shake_Farm","Shake Farm - BEA Building"
"995_Relish_by_Wild_Rocket","Relish by Wild Rocket - Cluny Court [Islandwide Delivery]"
"998_Renn_Thai","Renn Thai - The Cannery"
"999_Shan_Cheng","Shan Cheng - Bukit Panjang Plaza"
"999_Shan_Cheng","Shan Cheng - Sengkang"
"1002_Rice_Box_Tenderfresh","Rice & Box Tenderfresh - White Sands [Islandwide Delivery]"
"3224_Siam_Village","Siam Village - Macpherson"
"1014_Shi_Kou_Seafood","Shi Kou Seafood - 558 Balestier Road"
"1015_Sala_Thai_Kitchen","Sala Thai Kitchen -The Metropolis"
"2499_Srisun_Express","[CLOSED] Srisun Express - Tampines"
"1017_Singapores_BEST_Traditional_Herbal_Soup","Singapore's BEST Traditional Herbal Soup - Blk 527"
"1018_Salads_Wraps","Salads & Wraps - Gopeng Street"
"1023_Sinn_Ji_Hainanese_Chicken_Rice","Sinn Ji Hainanese Chicken Rice - Novena Regency"
"1024_Swagat_Indian_Vegetarian","Swagat Indian Vegetarian - CBP"
"1019_Srisun_Pratacom","Srisun Prata.com - Hougang"
"1036_Shihlin_Taiwan_Street_Snacks","Shihlin Taiwan Street Snacks - Compass One"
"1019_Srisun_Pratacom","Srisun Prata.Com - Jurong West 501"
"1019_Srisun_Pratacom","Srisun Prata.com - Jurong West 964"
"1019_Srisun_Pratacom","Srisun Prata.com - Rivervale"
"1036_Shihlin_Taiwan_Street_Snacks","Shihlin Taiwan Street Snacks - Novena Square 2"
"1019_Srisun_Pratacom","Srisun Prata.com - Yishun 418"
"1036_Shihlin_Taiwan_Street_Snacks","Shihlin Taiwan Street Snacks - 313 Somerset"
"1046_Swirls_Bakeshop","Swirls Bakeshop - 8 Rodyk Street"
"1036_Shihlin_Taiwan_Street_Snacks","Shihlin Taiwan Street Snacks - Tampines"
"654_Kraftwich_by_Swissbake","Kraftwich by Swissbake - Changi Business Park"
"1050_Srisun_Signature_Food","Srisun Signature Food- Blk 291"
"1036_Shihlin_Taiwan_Street_Snacks","Shihlin Taiwan Street Snacks - NEX"
"654_Kraftwich_by_Swissbake","Kraftwich by Swissbake - Harbourfront"
"09_tcc_The_Connoisseur_Concerto","tcc - The Connoisseur Concerto - Eu Tong Sen Street"
"01_Stirling_Steaks","Stirling Steaks - 115 East Coast Road"
"1059_Shin_Kushiya","Shin Kushiya - Vivocity [Islandwide Delivery]"
"1061_StraitsKitchen_at_Grand_Hyatt","Straits Kitchen - Scotts Road [Islandwide Delivery]"
"06_tcc_The_Connoisseur_Concerto","tcc - The Connoisseur Concerto - The Pier@Robertson #01-01"
"1063_Shinjuku","Shinjuku - Cuppage Plaza"
"03_tcc_The_Connoisseur_Concerto","tcc - The Connoisseur Concerto - VivoCity"
"1066_Strangers_at_Work","Strangers at Work - The Arcade"
"1982_Texas_Chicken","Texas Chicken - The Star Vista"
"1069_T_Bobs_Corner","T Bob's Corner - Blk 527"
"1982_Texas_Chicken","Texas Chicken - VivoCity"
"1072_Tea_Square","Tea Square - Hakka Lei Cha"
"1075_Streats","Streats - Bedok Mall"
"1077_TK_Kitchen","T.K Kitchen - Blk 37"
"1075_Streats","Streats - Bukit Panjang Plaza"
"1074_Tea_Tree_Cafe","Tea Tree Cafe - ITE College Central Ang Mo Kio"
"1081_Tabbouleh_Lebanese_Restaurant","Tabbouleh Lebanese Restaurant - 41 Arab Street"
"1075_Streats","Streats - City Square Mall"
"01_Tea_Tree_Cafe_X_Tea_Tree_Kakigori","Tea Tree Cafe X Tea Tree Kakigori - Kallang Wave Mall"
"1075_Streats","Streats - E!Hub"
"1074_Tea_Tree_Cafe","Tea Tree Cafe - Kovan"
"1087_Table_by_Rang_Mahal","Table by Rang Mahal - 41 Seah Street"
"1075_Streats","Streats - IMM"
"1095_Tachinomiya","Tachinomiya - Blk 211"
"01_Thai_Taste_Food","Thai Taste Food - West Mall"
"1094_Tea_Valley","Tea Valley - Pasir Ris"
"1075_Streats","Streats - Suntec City"
"1100_Thai_To_Go","Thai To Go - PKMS building"
"1075_Streats","Streats - West Mall"
"1104_Thaid_Me_Up_Restaurant_Bar","Thai'd Me Up Restaurant & Bar - Balmoral Plaza"
"1105_Taipei_Zhan","Taipei Zhan - Rivervale Plaza"
"1106_Teck_Neo_Peranakan_Restaurant","Teck Neo Peranakan Restaurant - Telok Blangah Rise"
"1108_The_Green_Bean_Shop","The Green Bean Shop - Blk 22 Sin Ming Ville"
"1109_Taiwan_Ichiban","Taiwan Ichiban - NYP"
"1111_The_Grumpy_Bear","The Grumpy Bear"
"1116_The_Affogato_Bar","The Affogato Bar - Cluny Court[Islandwide Delivery]"
"2042_The_Soup_Spoon","The Soup Spoon - Alexandra Retail Centre"
"1117_Ten_Points_Porridge","Ten Points Porridge - Rivervale Mall"
"1119_The_Banana_Leaf_Apolo","The Banana Leaf Apolo - Parkway Parade"
"2042_The_Soup_Spoon","The Soup Spoon - Bugis Junction"
"2042_The_Soup_Spoon","The Soup Spoon - JEM"
"1122_Tender_Fresh_Classic","Tenderfresh Classic - Punggol"
"1122_Tender_Fresh_Classic","Tenderfresh Classic - Tampines"
"1130_The_Beast","The Beast - 17 Jalan Klapa"
"1122_Tender_Fresh_Classic","Tenderfresh Classic - Upper Bukit Timah"
