"chain_number","name"
"Andoks","Andok's - Pureza"
"TaKeHoMeSushiStand","Ta Ke Ho Me Sushi Stand - South Triangle"
"BubbleTeaStation","Bubble Tea Station - Queensland Manor"
"MannHann","Mann Hann - SM Fairview"
"MannHann","Mann Hann - Robinsons Magnolia"
"MannHann","Mann Hann - UP Town Center"
"MarugameUdon","Marugame Udon - Bonifacio High Street"
"PhoHoaVietnameseNoodleHouse","Pho Hoa Vietnamese Noodle House - BGC Stopover"
"CrazyKatsu","Crazy Katsu - Maginhawa"
"MarugameUdon","Marugame Udon - SM North Edsa"
"WingZone","Wing Zone - SM Megamall"
"ThreeGuysandaGrill","Three Guys and a Grill - Poblacion"
"ViaMare","Via Mare - Timog Avenue"
"TittosLatinBBQandBrew","Tittos Latin BBQ & Brew - Kapitolyo Pasig"
"Wingman","Wingman - Poblacion"
"TheSandwichGuy","The Sandwich Guy - McKinley"
"TheSandwichGuy","The Sandwich Guy - Cash & Carry Mall"
"SisigSociety","Sisig Society - Market Market"
"Rackshack","Rackshack - Circuit Makati"
"SerChefsLechon","Ser Chef's Lechon - Kapitolyo"
"PAULBoulangerieandPatisserie","PAUL Boulangerie and Patisserie - Rockwell"
"ParesRetiro","Pares Retiro - Tomas Morato"
"Motorino","Motorino - Podium"
"BurgerKing","Burger King - Timog"
"RicosLechon","Rico's Lechon - Tiendesitas"
"BrooklynsNewYorkPizza","Brooklyn's New York Pizza - Robinsons Place Manila"
"FarinasIlocosEmpanada","Farinas Ilocos Empanada - Visayas Avenue"
"BadBird","Bad Bird - Robinsons Place Manila"
"AVenetoPizzeriaRistorante","A Veneto Pizzeria Ristorante - Trinoma Mall"
"ClassicSavory","Classic Savory - SM North Edsa"
"Chopstop","Chopstop - Farmer's Plaza"
"HainaneseDelights","Hainanese Delights - SM Fairview"
"Hanako","Hanako - Moonwalk"
"ArmyNavyBurgerBurrito","Army Navy Burger + Burrito - Emerald"
"ArmyNavyBurgerBurrito","Army Navy Burger + Burrito - UST Dapitan"
"AmareLaCucina","Amare La Cucina - Kapitolyo"
"AdoboConnection","Adobo Connection - Gateway Cubao"
"CafeMaryGrace","Cafe Mary Grace - Ayala Malls Feliz"
"CafeMaryGrace","Cafe Mary Grace - Estancia"
"KantoFreestyleBreakfast","Kanto Freestyle Breakfast - Kapasigan"
"GerrysGrillRestaurantBar","Gerry's Grill Restaurant & Bar - SM Manila"
"TokyoTempura","Tokyo Tempura - Robinsons Forum"
"JujuEats","Juju Eats - Finman Centre Building"
"ChickenBacolod","Chicken Bacolod - Katipunan Avenue"
"SRNewYorkStylePizza","S&R New York Style Pizza - Robinsons Galleria"
"SRNewYorkStylePizza","S&R New York Style Pizza - SM Bicutan"
"SRNewYorkStylePizza","S&R New York Style Pizza - Lucky Chinatown Mall"
"SRNewYorkStylePizza","S&R New York Style Pizza - SM Sucat"
"SRNewYorkStylePizza","S&R New York Style Pizza - Festival Mall"
"Goldilocks","Goldilocks - SM City Fairview Foodshop"
"GongCha","Gong Cha - Power Plant Mall"
"BonChon","BonChon - Eton Centris"
"RazonsofGuagua","Razon's of Guagua - SM Fairview"
"TapaKing","Tapa King - E. Rodriguez"
"ChooksToGo","Chooks To Go - Unimart Supermarket"
"ChooksToGo","Chooks To Go - Ortigas Ext Rosario"
"ChooksToGo","Chooks To Go - Tunasan Muntinlupa"
"ChooksToGo","Chooks To Go - Maja Foods"
"RodicsDiner","Rodic's Diner - Teacher's Village"
"ChooksToGo","Chooks To Go - Pampanga Market Tondo"
"ChooksToGo","Chooks To Go - Sta. Ana"
"ChooksToGo","Chooks To Go - Sampaguita Street Pembo"
"ChooksToGo","Chooks To Go - Fortune Marikina"
"ChooksToGo","Chooks To Go - Arayat"
"ChooksToGo","Chooks To Go - Naga Road Pulang Lupa"
"Wendys","Wendy's - Makati Avenue"
"Wendys","Wendy's - Buendia"
"ChooksToGo","Chooks To Go - Kalawaan Pasig"
"Wendys","Wendy's - Glorietta 3"
"Wendys","Wendy's - Dapitan"
"Yoshinoya","Yoshinoya - SM Megamall"
"01_Ersao","Ersao - One Archer's Place"
"HouseofLasagna","House of Lasagna - Dela Rosa Carpark"
"HouseofLasagna","House of Lasagna - V Mall"
"AbabuPersianKitchen","Ababu Persian Kitchen - Loyola Heights"
"Cake2Go","Cake2Go - Katipunan"
"ChaTukChak","Cha Tuk Chak - E.Rodriguez"
"PhoHoaVietnameseNoodleHouse","Pho Hoa Vietnamese Noodle House - Trinoma Mall"
"MannHann","Mann Hann - Venice McKinley"
"LidoCocinaTsinabyPanciteriaLido","Lido Cocina Tsina by Panciteria Lido - Mindanao Avenue"
"LidoCocinaTsinabyPanciteriaLido","Lido Cocina Tsina by Panciteria Lido - E Rodriguez"
"CrazyKatsu","Crazy Katsu - Lilac Street"
"CrazyKatsu","Crazy Katsu - BF Homes"
"SisigHooray","Sisig Hooray - Market Market"
"Binalot","Binalot - Hanston Building"
"Amber","Amber - Paranaque"
"YuansWings","Yuan's Wings - New Zaniga"
"TheGardens","The Gardens - The Grove By Rockwell"
"TheSandwichGuy","The Sandwich Guy - SM Megamall"
"PAULBoulangerieandPatisserie","PAUL Boulangerie and Patisserie - Bench Tower"
"PansitMalabonExpress","Pansit Malabon Express - Talamban"
"MutsarapFriedChicken","Mutsarap Fried Chicken - Sta. Mesa"
"LittleFlourCafe","Little Flour Cafe - BGC"
"Lartizan","Lartizan - Ayala Malls The 30th"
"Galo","Galo - Solaris One"
"HongKongNoodlesDimsumHouse","Hong Kong Noodles & Dimsum House - Kapitolyo"
"HotStarLargeFriedChicken","Hot Star Large Fried Chicken - Cloverleaf"
"PepetonsGrill","Pepeton's Grill - Tomas Morato"
"Mazza","Mazza - Solaris One"
"SunriseBuckets","Sunrise Buckets - Power Plant Mall"
"Mazza","Mazza - McKinley Hill"
"BanhMiKitchen","Banh Mi Kitchen - Mandala Park"
"FarinasIlocosEmpanada","Farinas Ilocos Empanada - Sta Mesa"
"RicosLechon","Rico's Lechon - The Fort Entertainment Complex"
"PepperTreeFoods","Pepper Tree Foods - Katipunan"
"WildflourCafeBakery","Wild Flour Bakery + Café - Podium"
"PersiaGrill","Persia Grill - Met Live Mall"
